,Name,CVD,SI,Globularity,dnorm,SImean,CVDmean,Area,Volume,EN_diff
1375,DyHg_mp-2443,99.99999999999999,100.0,0.993475073440309,0.011451942148760498,0.8463747107438014,-0.7385438429752065,32.2989997794282,17.105227784738602,0.78
1376,MoOs_mp-1221418,100.0,100.0,0.9909565426384834,-0.4989142149172535,0.852971550142814,-0.6185953011654779,24.055740349763898,10.945912344116799,0.04
1377,YIr_mp-30746,100.0,100.0,0.992744041526127,-0.35620148821067654,0.848788957844238,-0.6824657415535365,27.521835460897,13.4444948098008,0.98
1378,CoIr_mp-1226007,100.0,100.0,0.9912480194501174,-0.5863674466487105,0.8671540986739871,-0.5619177366621775,20.287884331006452,8.5346554905479,0.32
1379,SnSb_mp-1218920,92.47537203940469,100.0,0.9492740394773341,-0.1741819958545845,0.716949045079454,-0.8069430349255144,41.93091982225005,23.615183157900603,0.09
1380,RbSb_mp-1009650,88.36559115386939,81.62597567616629,0.9013100386377255,0.531736775503721,0.45075437105569705,-1.013601992054667,78.2304538498155,55.32971933223304,1.23
1381,GaAs_mp-2534,84.35846560846561,99.93386243386244,0.9137159466029701,-0.14308085877085852,0.6761335564204315,-0.877681061253561,35.57007082660565,17.4743424763306,0.37
1382,CdN_mp-1008965,95.76923076923075,96.30769230769229,0.96760277094057,-0.13717126979362101,0.6965024727954975,-0.6314639954971856,24.274695996731452,10.85257691275192,1.35
1383,NaBi_mp-22924,100.0,100.0,0.9829283688623175,-0.25277973831233247,0.7926032112769166,-0.750901240315702,36.10209027148345,20.946466140067827,1.09
1384,CeTh_mp-1226523,100.0,100.0,0.9955854662770429,-0.142895649032518,0.8829173607588678,-0.752427174803784,34.454187188767904,18.9179799344492,0.18
1385,SiP_mp-8097,89.12309423923051,95.8579881656805,0.912306247572221,-0.351241613701285,0.634765284543043,-0.8219879829487491,31.04097837388615,14.158144400067599,0.29
1386,GeC_mp-1002164,93.17434210526314,92.92763157894734,0.933458567030878,-0.548177369001548,0.608822246904025,-0.59557512751548,21.45030063755955,8.500141089281566,0.54
1387,MnSb_mp-1009217,100.0,100.0,0.9683904342887575,-0.3433485809069995,0.7529082894022558,-0.732391245939355,31.317416109128146,15.989889279219952,0.5
1388,MoC_mp-1009218,92.49980714340815,98.24414715719065,0.9381989895535685,-0.5183038585514935,0.689479774439703,-0.6241622083189176,21.902884338504652,8.95227719941795,0.39
1389,ScSb_mp-12983,99.99999999999999,100.0,0.9886816794763216,-0.2576740747987055,0.823968008127022,-0.7326338772669121,32.4033794382268,17.2515172004591,0.69
1390,AuN_mp-1008610,95.22541281293886,96.88473520249225,0.9613946260390684,-0.2612558250609335,0.6943788569560796,-0.6333939483156585,23.01878555173725,9.988244582557796,0.5
